Round,Male Temp,Larval Temp,Male ID,Treatment,Temp_Num,Temp,Normal,Abnormal,Dead
3,L,L,L9,LL,3,29.2,16,81,3
1,H,H,H1,HH,4,29.8,0,63,37
1,H,H,H2,HH,4,29.8,0,56,44
1,H,H,H3,HH,4,30,0,19,81
2,H,H,H4,HH,4,29.8,0,98,2
2,H,H,H5,HH,4,29.9,0,77,23
2,H,H,H6,HH,4,29.9,0,96,4
3,H,H,H7,HH,4,30.2,4,90,6
3,H,H,H8,HH,4,30.2,0,76,24
3,H,H,H9,HH,4,30.1,0,70,31
1,H,L,H1,HL,4,30.3,0,0,100
1,H,L,H2,HL,4,30.3,0,0,100
1,H,L,H3,HL,4,30.3,0,20,80
2,H,L,H4,HL,4,29.6,0,11,91
2,H,L,H5,HL,4,29.6,0,37,63
2,H,L,H6,HL,4,29.7,0,0,100
3,H,L,H7,HL,4,30.2,0,44,56
3,H,L,H8,HL,4,30,0,26,74
3,H,L,H9,HL,4,30.3,0,4,96
1,L,H,L1,LH,4,29.8,0,96,4
1,L,H,L3,LH,4,30.1,0,66,34
2,L,H,L4,LH,4,29.8,0,85,15
2,L,H,L5,LH,4,29.8,1,98,1
2,L,H,L6,LH,4,29.7,0,89,11
3,L,H,L7,LH,4,29.8,0,69,32
3,L,H,L8,LH,4,29.8,0,73,29
3,L,H,L9,LH,4,29.6,0,95,5
1,L,L,L1,LL,4,30.1,0,30,70
1,L,L,L2,LL,4,30.1,0,64,99
1,L,L,L3,LL,4,30.1,1,32,67
2,L,L,L5,LL,4,29.9,0,42,65
2,L,L,L6,LL,4,29.9,1,20,79
3,L,L,L7,LL,4,30.1,0,0,100
3,L,L,L8,LL,4,30.3,0,2,98
3,L,L,L9,LL,4,30.2,0,33,67
1,H,H,H1,HH,5,31.1,0,0,102
1,H,H,H2,HH,5,31.1,0,0,100
1,H,H,H3,HH,5,31.2,1,0,99
2,H,H,H4,HH,5,31.1,0,0,100
2,H,H,H5,HH,5,31.1,0,0,103
2,H,H,H6,HH,5,31,0,3,98
3,H,H,H7,HH,5,31.2,0,0,100
3,H,H,H8,HH,5,31.5,0,1,99
3,H,H,H9,HH,5,31.1,0,0,101
1,H,L,H1,HL,5,31.6,0,0,100
1,H,L,H2,HL,5,31.7,0,2,98
1,H,L,H3,HL,5,31.5,0,0,100
2,H,L,H4,HL,5,31.1,0,2,98
2,H,L,H5,HL,5,30.8,0,0,100
2,H,L,H6,HL,5,30.9,0,0,100
3,H,L,H7,HL,5,31.5,0,0,105
3,H,L,H8,HL,5,31.5,0,4,96
3,H,L,H9,HL,5,31.2,0,6,94
1,L,H,L1,LH,5,31.5,0,0,100
1,L,H,L2,LH,5,31.6,0,1,108
1,L,H,L3,LH,5,31.2,0,0,100
2,L,H,L4,LH,5,31,0,0,100
2,L,H,L5,LH,5,30.9,0,4,96
2,L,H,L6,LH,5,31,0,27,73
3,L,H,L7,LH,5,30.8,0,0,102
3,L,H,L8,LH,5,31,0,16,85
3,L,H,L9,LH,5,31,0,1,99
1,L,L,L1,LL,5,31.4,0,0,100
1,L,L,L2,LL,5,31.4,0,2,100
1,L,L,L3,LL,5,31.4,0,0,100
2,L,L,L4,LL,5,31.1,0,0,99
2,L,L,L5,LL,5,31,0,0,100
2,L,L,L6,LL,5,31,0,1,99
3,L,L,L7,LL,5,31.2,0,0,100
3,L,L,L8,LL,5,31.6,0,0,100
